source_row_number,source_number,academic_unit,international_or_national_certification,private_or_other_certification,foreign_language,awards,employment_or_experience,double_major_requirement,reference_note,source_note
6,2,영어영문학과,"* 컴퓨터 활용능력 1급 및 워드프로세서 ※ 두가지 모두 취득해야함 * 무역영어 2급이상(영문해석, 영작문, 무역실무)",,* 토익700이상 또는 이에 상응하는 국제공인 영어 자격증(오픽/토스/토플 등 ※ 점수환산표 참고) * 전공 원어민 회화 교과 이수(3과목 이상 B+이상 취득 ※ 해당 과목 지정표 참고),,"* 4대보험 보장 기업 취업 (재직증명서, 건강보험자격득실확인서 증빙) * 창업(사업자등록증, 사업계획서(또는 보고서) 증빙) * 임관종합평가에 합격한 ROTC임관예정자(학군사관후보생지원서 및 합격예정공문 증빙) * 대학원 진학(합격증명서 증빙) ※ 상기 네 항목은 모두 1) 증빙자료를 제출하고 2) 제출 자료를 토대로 기간 내 학과 면접 후 합격 여부 결정",본과생과 동일,세부사항 학과홈페이지 참조,
7,13,글로벌경제학과,"*데이터분석 준전문가(ADsP) *전산회계운용사 1,2급/ *전산회계1급 *전산세무2급 *컴퓨터 황용능력 2급 이상(or조건) *공인노무사 *관세사 *유통관리사2급이상 *세무사 *감정평가사 *변리사 *공인중개사 *공인회계사 *물류관리사 *보험계리사 *보험중계사 *손해사정사 *증권투자&펀드투자&파생상품투자상담사(3개모두취득시대체가능) *증권투자 *펀드투자 *자산관리사 *경제이해력검증시험(TESAT) (한국2급이상 or 매일 700점이상) *AFPK *CFP",,"*토익700이상 *토익스피킹 130이상 *토플500(IBT60,CBT170)이상 *HSK7급(신5급)이상 *JPT500 이상 *JLPT 2급이상",,[요건별 필요 증빙서류 제출시 보고서 대체 가능] * 4대보험 보장 기업 취업 - 재직증명서 - 건강보험자격득실확인서 * 창업 - 사업자등록증 - 건강보험자격득실확인서 * 임관종합평가에 합격한 ROTC임관예정자 - 학군사관후보생지원서 및 합격예정공문 등 증빙서류 * 대학원 진학 - 합격증명서 증빙,본과생과 동일,,
8,14,경영학과,[1개 이상 취득 시 졸업요건 충족 자격증] * 공인회계사 1차 이상 * 세무사 1차 이상 * 미국공인회계사(AICPA) * 개인종합재무설계사(AFPK) * 공인재무분석사(CFA) * 국제공인 재무설계사(CFP) * 국제공인 정보시스템 감사사(CISA) * 경영지도사 * 공인노무사,[1개 이상 취득 시 졸업요건 충족 자격증] (해당 자격증 없음),"[어학 자격증 1개 취득 시 졸업요건 충족] (1) 영어 * TOEFL (PBT 500점, iBT 60점, CBT 170점 이상) * TOEIC 700점 이상 * TOEIC speaking 130점 이상 * TOEIC speaking&writing 5급 이상 * Opic IM1 이상 (2) 중국어 * HSK 7급 이상 * 新HSK 5급 이상 (3) 일본어 * JPT 750점 이상 * 新JLPT N2 이상 * 舊JLPT 2급 이상",,,"* 본과생과 동일 * 단, 어학 전공(미국, 국제지역학, 중국, 영문) 학과 학생은 해당 전공 어학 자격증 불인정",,
9,14,경영학과,[3개 이상 취득 시 졸업요건 충족 자격증(복수전공생 : 2개)] * 자산관리사(FP) * 신용분석사 * 재경관리사 * 전산회계운용사1급 * 회계관리1급 * 전산회계1급 * 세무회계1급 * 기업회계1급 * 전산세무2급이상 * FAT1급 * TAT 2급 이상 * 물류관리사 2급 이상 * 유통관리사 2급 이상 * 사회조사분석사 1급 이상 * ERP 정보관리사 2급 이상 (회계/인사/생산/물류) * 정보처리산업기사 * 정보시스템감리사 * 데이터분석 준전문가 * 경영정보시각화능력,[3개 이상 취득 시 졸업요건 충족 자격증 (복수전공생 : 2개)] * 구매자재관리사 * 품질경영진단사,,,,,,
10,15,국제통상학과,* 관세사 * 세무사 * 물류관리사 * 유통관리사2급 이상 * 보세사 * 원산지관리사 * 무역영어 1급,* 국제무역사1급 * 외환관리사,"* 토익750이상 * 토플500(IBT60, CBT170)이상 * 신HSK6급이상 * JPT750(JLPT2급)이상 * OPIc IM이상 * TOICE SPEAKING LV6이상",,"* 4대보험 보장 기업, 기관, 공무원 등 취업 (재직증명서, 건강보험자격득실확인서 증빙) * 창업(사업자등록증, 사업계획서(또는 보고서) 증빙) * 임관종합평가에 합격한 ROTC임관예정자","* 창의 및 인증심사 부분 본과생과 동일 ※ 복수전공생 합격 요건 : 시험 or 자격증 or 외국어 * 어학 전공(영어영문, 중국, 국제지역학 등) 학과 학생은 해당 전공 어학 자격증을 불인정함.",,
11,16,국제지역학전공,,,* JLPT N1 * JPT 700이상 * 토익 700이상,,"*취업(재직증명서+건강보험자격득실확인서) *해외취업의 경우, 재직증명서+급여명세서",본과생과 동일,*외국인 유학생:본과생과 동일,
12,17,중국학전공,,,"[재학생] * 신HSK5급 이상 * 토익 700점 이상 * 토익스피킹 130점 이상 [외국인, 이중언어과정 편입생] 1. 한국어능력시험(TOPIK 또는 TOPIK IBT) 4급(예체능계열 3급) 이상 취득 2-1. 복수학위생 및 외국어특별전형 입학 유학생 : 국제협력대학 자체 시행 한국어능력시험 통과 2-2. 이중언어과정 및 중국어트랙 : 한국어교육센터의 한국어특별과정 300시간 이상 출석 3. 세종학당 중급2 이상 이수 4. 사회통합프로그램 4단계 이상 이수",,"* 4대보험 보장 기업 취업 (재직증명서, 건강보험자격득실확인서 증빙) * 창업(사업자등록증)증빙 * 임관종합평가에 합격한 ROTC임관예정자 * 공무원합격",본과생과 동일,,
13,18,미국학전공,,,*TOEIC 800이상 *TOEFL IBT 60이상 *TOEIC 750이상 + TOEIC SPEAKING 130점이상,,,본과생과 동일,,
14,19,공공인재법학과,*컴퓨터활용능력 2급 이상 취득 *법무사/손해사정사 *변리사/보험계리사 *관세사/보험중개사 *감정평가사/행정관리사 *세무사/공인노무사 *공인중개사 위 자격의 1차 합격자,*한자능력검정시험 6급이상 *한자급수시험 6급이상,*토익500이상 *토익스피킹 Level4 * [외국인 학생]이중언어과정 편입생(4개 중 1이상 충족) 1. 한국어능력시험(TOPIK 또는 TOPIK IBT) 4급(예체능계열 3급) 이상 취득 2. 한국어교육센터의 한국어특별과정 300시간 이상 출석 3. 세종학당 중급2 이상 이수 4. 사회통합프로그램 4단계 이상 이수,,*공무원시험 합격자 *임관종합평가에 합격한 ROTC임관예정자,본과생과 동일,,
15,20,행정정보학과,* 전산회계1급 * 전산세무1급 * 사회조사분석사 2급 * FAT 1급,* 행정관리사 3급 * 정책분석평가사 3급 * 공인전문능력자격증 : 공공빅데이터관리분석사,"* (유학생만 해당) [ 외국인, 이중언어과정 편입생] 1. 한국어능력시험(TOPIK 또는 TOPIK IBT) 4급(예체능계열 3급) 이상 취득 2-1. 복수학위생 및 외국어특별전형 입학 유학생 : 국제협력대학 자체 시행 한국어능력시험 통과 2-2. 이중언어과정 및 중국어트랙 : 한국어교육센터의 한국어특별과정 300시간 이상 출석 3. 세종학당 중급2 이상 이수 4. 사회통합프로그램 4단계 이상 이수","* 공식적인 논문발표대회, 논문공모전 수상","* 4대보험 보장 기업 취업 (재직증명서, 건강보험자격득실확인서 증빙) * 창업(사업자등록증, 사업계획서(또는 보고서) 증빙) * 임관종합평가에 합격한 ROTC임관예정자",본과생과 동일,,
