academic_unit,eligibility_requirement,form_thesis,form_report,form_practical_or_artwork,form_exam,substitute_international_certification,substitute_national_technical_certification,substitute_national_professional_certification,substitute_national_accredited_private_certification,substitute_private_certification,substitute_other,pass_requirement,double_major_pass_requirement,note
국제통상학과,,,,,√,"* 졸업시험 가산점 부여 자격증 토익850이상, 토플800(IBT 85)이상, 신HSK6급이상, JPT750(JLPT2급)이상, OPIc IM이상, TOICE SPEAKING LV6 이상",,"* 졸업시험 가산점 부여 자격증 관세사, 물류관리사1급, 유통관리사2급","* 졸업시험 가산점 부여 자격증 TESAT, 무역영어1급","* 졸업시험 가산점 부여 자격증 국제무역사1급, 외환관리사","* '졸업시험' 관련 자격증 가산점 부여 방법 - 본과생은 지정한 자격증 취득 시 영역별 5점 부여 - 복수전공생은 지정한 자격증 취득 시 영역별 5점 부여, 최대 20점까지 인정",졸업시험 (전공종합시험 응시를 원칙으로 함) ※ 본교 소속 유학생은 예외적으로 졸업논문으로 대체,본과생과 동일,
아동학과,,,√,,√,*외국인 유학생: 한국어능력시험4급이상,,*24학번부터 보육교사 2급 자격증,,,"* 외국인 유학생: ①한국어능력시험 4급이상 취득, ②국제협력대학 자체 시행 한국어 능력시험 통과, ③세종학당 중급2 이상 이수, ④사회통합프로그램 4 단계 이상 이수 중 한 개 * 이중언어과정 편입생: ①한국어능력시험 4급이상 취득, ②한국어교육센터의 한국어 특별과정300시간 이상 출석, ③세종학당 중급 2이상 이수, ④사회통합프로그램 4단계 이상 이수 중 한 개",* 19학번까지는 이전 졸업 심사 기준에 따름(관련 내용은 학과 홈페이지 참조) * 20학번~ 23학번까지 : 활동보고서 총 4회 제출 * 24학번 : 보육교사 자격증 2급 취득+활동보고서(4회) * 25학번 이후 : 보육교사 자격증 2급 취득 + 학과 관련 민간자격증 2개 취득 * 외국인 유학생(이중언어과정 편인생 포함) : 대체자격지정-기타 참조,* ~19학번까지: 본과생과 동일 * 20학번 이후 : 전공종합시험,
의료IT융합전공,"캡스톤디자인(의공융합1,2) 필수 이수 *전공노트 7과목 각 70쪽 이상 자필 작성 (AND 조건)",√,,,,TOEIC 555 이상(하향조정),의공기사 정보처리기사,,RA전문가2급,,"한국의료기기안전정보원 RA중기과정 수료하고 RA전문가2급 시험 전 과목 평균 50점 이상 취득 취업(4대 보험 가입, 정규직, 3개월 이상 근무)",다음 3개 요건 모두 충족(AND 조건) 1. 졸업논문 응시 요건 2. 졸업논문 심사 합격 3. 대체자격증 지정 6개 중 1개 이상 충족,본과생과 동일 ※ 졸업논문응시요건의 전공노트 제외,
전기공학전공,"시행시기 : 2025학년도 전기 졸업자대상자(2026년 2월 졸업) 부터 1. 캡스톤디자인(전기Ⅰ,Ⅱ) 이수 및 작품발표 2. I 자격 점수(택 1) - 공인 TOEIC 600점 이상 - 기타 공인영어점수(TOEFL, TEPS, OPIC 등)로서 TOEIC 600점에 준하는 점수 이상 - 본교 영어 교과 중 하나 이상을 A학점 이상 취득한 경우, TOEIC 500점 이상 3. E 자격 점수(택 1) 전력기술 트랙 - 전기기사 자격증 필기시험 합격 - 전기공사기사 자격증 필기시험 합격 - 전기산업기사 자격증 취득 - 전기공사산업기사 자격증 취득 전력전자 트랙 - 국내외 전공 유관 학술단체 (학회)에서 개최하는 교외 경진대회 작품 출품 - 전력전자 트랙 교과목 중 세 개 이상의 전공 교과목 A학점 이상 취득 - 캡스톤디자인 교과에서 전력전자 관련 작품 제작 및 A+학점 취득 (and 조건)",√,,√,,,,,,,[대체 자격 요건] 1. 취업생: 취업 증빙서류 제출 2. 대학원 진학: 대학원 진학 증빙서류 제출 3. 학생군사교육관(ROTC) 수료 후 임관 예정인 자: 임관 관련 증빙서류 제출 ※ [특이사항] 특별한 사유가 있을 경우 전기공학과 교수회의에서 의결함,"2개 중 1개 이상 충족(or조건) 1. 졸업논문 70점 이상 2. 대체 자격 요건 - 취업생, 대학원 진학, ROTC 임관 (대체 자격 요건 시 응시 요건 면제)",본과생과 동일,대체자격증 미지정 학과 홈페이지 전기공학전공 졸업요건 충족 필수
데이터경영산업공학과 (변경전 : 산업경영공학과_명칭 변경),,,√,,,,,,,,[대체 자격 요건 ] 1. 취업생 : 졸업논문대체보고서+토익400점이상 또는 학과영단어시험통과자(70점 이상) 2. 학과졸업사정위원회에서 인정하는 자격증 취득 학생 3. 외국인 학생 : 졸업논문대체보고서 제출자,[IE제도 요건 충족] 1. I 국제인 점수와 E 전문인 점수를 합산하여 획득점수 200점 이상. 2.인성능력 함양을 위한 사회봉사와 비교과활동 학번별 이수 횟수 충족해야 함 (자세한 내용은 학과 홈페이지 참조) ※ 상기 1~2 요건 모두 충족 시 합격,[IE제도 요건 충족] 1. I 국제인 점수와 E 전문인 점수를 합산하여 획득점수 120점 이상. 2.인성능력 함양을 위한 사회봉사와 비교과활동 학번별 이수 횟수 충족해야 함 (자세한 내용은 학과 홈페이지 참조) ※ 상기 1~2 요건 모두 충족 시 합격,"* 학과지정 토익, 자격증, 현장실습(산업인턴), 사회봉사의 획득점수표, 인성능력함양을 위한 노력 인정내용은 학과사무실에서 확인 필수 * IE제도에 대한 자세한 설명은 학과 홈페이지 졸업/학사 공지사항 '데이터경영산업공학과 졸업요건(논문) 안내(기존)' 게시글 참조 바람"
역사전공,폐설,√,,√,,,,,,,,2개 중 1개 이상 충족(or조건),,대체자격증 미지정
문화콘텐츠전공,폐설,√,,√,,,,,,,,2개 중 1개 이상 충족(or조건),,대체자격증 미지정
문화철학과문화사전공,폐설,√,,√,,,,,,,,2개 중 1개 이상 충족(or조건),,대체자격증 미지정
음악학부,폐설,√,,√,,,,,,,,2개 중 1개 이상 충족(or 조건),,대체자격증 미지정
무용예술학부,폐설,√,,√,,,,,,,,2개 중 1개 이상 충족(or 조건),,대체자격증 미지정
공공인재법학과(성인별도반),폐설,,,,√,,,,,,,,,
물리학전공,폐설,√,,,,,,,,,,,,대체자격증 미지정
통신공학전공,폐설,,,,√,*토익700이상 *시스코(CNNA/CCNP/CCIE) *TEPS 560점 *TOEIC Speaking 6등급 *Opic IM2등급 *HSK 5등급 (or조건),무선설비기사/전자기사/ 정보통신기사/전기기사/ 정보처리기사 (or조건),,,네트워크관리사/ 유비쿼터스마스타/ 인터넷보안전문가 (or조건),,4개 중 1개 이상 충족(or 조건),,
섬유패션콘텐츠학과,폐설,,,,√,,,,,,,,,
복지행정학과,폐설,,,,√,,,,,,,,,
기술경영공학과,폐설,,,,√,,,,,,,졸업시험(70점 이상) 합격,,
글로벌비즈니스전공,폐설,,,,√,*토익 700이상 *토익스피킹 5급이상 *JPT 500이상 *JLPT N3이상 *신HSK 5급이상,,,,,,2개 중 1개 이상 충족(or 조건),,
융합지식재산전공,폐설,√,√,,,,,,,,,,,
창의융합인재전공,폐설,,,,√,"*TOEIC 700, TOEFL IBT 80 이상 *HSK 5급 *JLPT 2급, JPT 600 이상 (or조건)",,,,,"*졸업시험 문제는 이수교과목 가운데 2과목을 학생 자율로 선택하여, 응시할 수 있음",2개 중 1개 이상 충족(or 조건),,
글로벌리더전공,폐설,,,,√,,,,,,,,,
문화벤처연계전공,폐설,√,,,,,,,,,,,,대체자격증 미지정
한중통상비지니스연계전공,폐설,√,,,,"*토익700이상 *토플530(IBT72,CBT197)이상 *HSK7급(신5급)이상(or조건)",,,,,,2개 중 1개 이상 충족(or 조건),,
정보디스플레이연계전공,폐설,√,,,,,,,,,,,,대체자격증 미지정
정보디스플레이융합전공,폐설,√,,√,,,,,,,,2개 중 1개 이상 충족(or 조건),,
미술학부,현대한국화전공 회화전공 도시공간조형전공,,,√,,,,,,,,졸업작품,,대체자격증 미지정
공공서비스관리학과,,,,,√,,,학과전공관련 국가자격증(1개),,학과전공관련 민간자격증(2개),,3개 중 1개 이상 충족(or조건),,
휴먼케어융합전공,,,,,,*토익 700 이상 *MOS MASTER 취득 *토플IBT70이상 *JPT540(JLPT2급)이상 *HSK5급 이상 (or조건),*컴퓨터활용능력 2급 이상 *한국어능력시험4급이상 (외국인유학생만 해당) (or조건),,,전공관련 민간자격증(1개),,3개중 1개이상충족 (or조건),,3개의 자격증 중 택1
종교문화학과,,√,,,,,,,,,,졸업논문,,대체자격증 미지정
아동청소년상담스마트융합학과,,,,,√,,,,,,,,,
스포츠융합경영학과,,,,,,,,,,,,,,"소속 학생 없음, 2026 폐과"
휴먼케어융합전공,,,,,,*토익 700 이상 *MOS MASTER 취득 *토플IBT70이상 *JPT540(JLPT2급)이상 *HSK5급 이상 (or조건),*컴퓨터활용능력 2급 이상 *한국어능력시험4급이상 (외국인유학생만 해당) (or조건),,,전공관련 민간자격증(1개),,,3개중 1개이상충족 (or조건),3개의 자격증 중 택1
리빙홈테크융합전공,,,√,,,,,,,,"보고서 제출 (홈인테리어분야의 가구제품을 토대로 기획, 계획 보고서 작성)",,,교과목 연계 기업 취업 및 창업시 가산점 부여
지식재산융합전공,,√,√,,,,,,*국가공인 지식재산능력시험(I-PAT) 600점(4급) 이상,,아래 중 택 1 *특허출원 *특허기술조사보고서 *기업체특허컨설팅보고서 *지식재산논문 *학회발표,,1개 이상 충족 (or조건),
반도체공학융합전공,,√,√,,,,,,,,졸업논문 및 보고서 작성 지도교수는 반도체공학융합전공 교과목 담당교수 중 신청가능 (※해당 교수 교과목 이수 필수),,아래 졸업요건 2개 중 1개 선택 이수 1. 논문 2. 보고서,
창업융합전공,,,,√,,,,,,창업보육지도사/ 창업교육지도사/ 청소년기업가정신지도사 (or조건),* 창업 후(사업자등록(본인명의)) 최근 6개월 평균 월매출액 100만원 이상 시 졸업논문(시험) 대체 가능,,2개 중 1개 이상 충족 (or조건),실기(작품)발표는 사업계획서 제출-졸업논문 대체(이론)
